code,name,continent,population,"sum(population) over()"
ABW,Aruba,"North America",103000,6078749450
AFG,Afghanistan,Asia,22720000,6078749450
AGO,Angola,Africa,12878000,6078749450
AIA,Anguilla,"North America",8000,6078749450
ALB,Albania,Europe,3401200,6078749450
AND,Andorra,Europe,78000,6078749450
ANT,"Netherlands Antilles","North America",217000,6078749450
ARE,"United Arab Emirates",Asia,2441000,6078749450
ARG,Argentina,"South America",37032000,6078749450
ARM,Armenia,Asia,3520000,6078749450
ASM,"American Samoa",Oceania,68000,6078749450
ATA,Antarctica,Antarctica,0,6078749450
ATF,"French Southern territories",Antarctica,0,6078749450
ATG,"Antigua and Barbuda","North America",68000,6078749450
AUS,Australia,Oceania,18886000,6078749450
AUT,Austria,Europe,8091800,6078749450
AZE,Azerbaijan,Asia,7734000,6078749450
BDI,Burundi,Africa,6695000,6078749450
BEL,Belgium,Europe,10239000,6078749450
BEN,Benin,Africa,6097000,6078749450
BFA,"Burkina Faso",Africa,11937000,6078749450
BGD,Bangladesh,Asia,129155000,6078749450
BGR,Bulgaria,Europe,8190900,6078749450
BHR,Bahrain,Asia,617000,6078749450
BHS,Bahamas,"North America",307000,6078749450
BIH,"Bosnia and Herzegovina",Europe,3972000,6078749450
BLR,Belarus,Europe,10236000,6078749450
BLZ,Belize,"North America",241000,6078749450
BMU,Bermuda,"North America",65000,6078749450
BOL,Bolivia,"South America",8329000,6078749450
BRA,Brazil,"South America",170115000,6078749450
BRB,Barbados,"North America",270000,6078749450
BRN,Brunei,Asia,328000,6078749450
BTN,Bhutan,Asia,2124000,6078749450
BVT,"Bouvet Island",Antarctica,0,6078749450
BWA,Botswana,Africa,1622000,6078749450
CAF,"Central African Republic",Africa,3615000,6078749450
CAN,Canada,"North America",31147000,6078749450
CCK,"Cocos (Keeling) Islands",Oceania,600,6078749450
CHE,Switzerland,Europe,7160400,6078749450
CHL,Chile,"South America",15211000,6078749450
CHN,China,Asia,1277558000,6078749450
CIV,"Côte d’Ivoire",Africa,14786000,6078749450
CMR,Cameroon,Africa,15085000,6078749450
COD,"Congo, The Democratic Republic of the",Africa,51654000,6078749450
COG,Congo,Africa,2943000,6078749450
COK,"Cook Islands",Oceania,20000,6078749450
COL,Colombia,"South America",42321000,6078749450
COM,Comoros,Africa,578000,6078749450
CPV,"Cape Verde",Africa,428000,6078749450
CRI,"Costa Rica","North America",4023000,6078749450
CUB,Cuba,"North America",11201000,6078749450
CXR,"Christmas Island",Oceania,2500,6078749450
CYM,"Cayman Islands","North America",38000,6078749450
CYP,Cyprus,Asia,754700,6078749450
CZE,"Czech Republic",Europe,10278100,6078749450
DEU,Germany,Europe,82164700,6078749450
DJI,Djibouti,Africa,638000,6078749450
DMA,Dominica,"North America",71000,6078749450
DNK,Denmark,Europe,5330000,6078749450
DOM,"Dominican Republic","North America",8495000,6078749450
DZA,Algeria,Africa,31471000,6078749450
ECU,Ecuador,"South America",12646000,6078749450
EGY,Egypt,Africa,68470000,6078749450
ERI,Eritrea,Africa,3850000,6078749450
ESH,"Western Sahara",Africa,293000,6078749450
